
###########################################################
##################### Celtic ##############################
###########################################################
################# Celtic is everyone ######################


emperor_celtic;Ard-Rí;;;;;;;;;;;;;x
king_celtic;Rí;;;;;;;;;;;;;x
king_female_celtic;Banríon;;;;;;;;;;;;;x
title_prince_celtic;Prionsa;;;;;;;;;;;;;x
title_prince_female_celtic;Banphrionsa;;;;;;;;;;;;;x
duke_celtic;Duw;;;;;;;;;;;;;x
count_celtic;Comhaireamh;;;;;;;;;;;;;x

tribal_count_celtic;Prif;;;;;;;;;;;;;x

job_chancellor_celtic;Castellan;;;;;;;;;;;;;x

king_breton;Ri;;;;;;;;;;;;;x
king_female_breton;Rouanez;;;;;;;;;;;;;x

###########################################
############### Irish #####################
###########################################

city_baron_female_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
city_baron_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x
city_barony_irish;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
city_barony_of_irish;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
city_count_female_irish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_count_irish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_county_irish;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
city_county_of_irish;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x

emperor_female_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_female_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x

king_female_irish;Banríon;Banríon;Banríon;;Banríon;;;;;;;;;x
king_irish;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
king_title_ruler_consort_female_irish;Banríon Chéile;Banríon Chéile;Banríon Chéile;;Banríon Chéile;;;;;;;;;x
king_title_ruler_consort_irish;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
kingdom_irish;Ardrígdacht;Ardrígdacht;Ardrígdacht;;Ardrígdacht;;;;;;;;;x
